Time	Temperature	Heat Flow (Normalized)
s	°C	W/g
111,100	4,07927	-0,0399617
111,200	4,08852	-0,0399694
111,300	4,09781	-0,0399905
111,400	4,10846	-0,0400190
111,500	4,11761	-0,0400537
111,600	4,12868	-0,0400963
111,700	4,13859	-0,0401265
111,800	4,14911	-0,0401553
111,900	4,15793	-0,0401831
112,000	4,16820	-0,0402080
112,100	4,17780	-0,0402281
112,200	4,18742	-0,0402441
112,300	4,19865	-0,0402534
112,400	4,20777	-0,0402576
112,500	4,21846	-0,0402555
112,600	4,22725	-0,0402528
112,700	4,23768	-0,0402506
112,800	4,24735	-0,0402411
112,900	4,25828	-0,0402244
113,000	4,26761	-0,0402137
113,100	4,27744	-0,0402096
113,200	4,28738	-0,0402069
113,300	4,29723	-0,0402107
113,400	4,30746	-0,0402179
113,500	4,31713	-0,0402261
113,600	4,32703	-0,0402395
113,700	4,33676	-0,0402548
113,800	4,34719	-0,0402741
113,900	4,35706	-0,0403027
114,000	4,36676	-0,0403255
114,100	4,37745	-0,0403467
114,200	4,38758	-0,0403676
114,300	4,39607	-0,0403822
114,400	4,40666	-0,0403999
114,500	4,41701	-0,0404239
114,600	4,42657	-0,0404459
114,700	4,43643	-0,0404671
114,800	4,44537	-0,0404938
114,900	4,45671	-0,0405204
115,000	4,46490	-0,0405539
115,100	4,47641	-0,0405891
115,200	4,48587	-0,0406120
115,300	4,49555	-0,0406330
115,400	4,50596	-0,0406483
115,500	4,51650	-0,0406623
115,600	4,52719	-0,0406789
115,700	4,53566	-0,0406974
115,800	4,54610	-0,0407138
115,900	4,55552	-0,0407267
116,000	4,56566	-0,0407328
116,100	4,57534	-0,0407338
116,200	4,58520	-0,0407326
116,300	4,59508	-0,0407317
116,400	4,60403	-0,0407212
116,500	4,61444	-0,0407170
116,600	4,62457	-0,0407198
116,700	4,63546	-0,0407365
116,800	4,64566	-0,0407690
116,900	4,65497	-0,0408069
117,000	4,66409	-0,0408382
117,100	4,67477	-0,0408601
117,200	4,68429	-0,0408764
117,300	4,69461	-0,0408910
117,400	4,70499	-0,0408986
117,500	4,71495	-0,0408989
117,600	4,72446	-0,0409065
117,700	4,73579	-0,0409150
117,800	4,74576	-0,0409272
117,900	4,75514	-0,0409481
118,000	4,76440	-0,0409643
118,100	4,77506	-0,0409785
