Filename	DSC_A1_1_0-100C_6Cmin_2
Instrument name	DSC2A-00281 (192.168.1.101)
Operator	JDAA
rundate	5/7/2024
Sample name	DSC_A1_1_0-100C_6C/min_2
proceduresegments	Equilibrate 0,00000 °C; Isothermal 0,5 min; Data On ; Ramp 6,00 °C/min to 100,000 °C; Mark End of Cycle ; Ramp 6,00 °C/min to 0,00000 °C; Mark End of Cycle ; Ramp 6,00 °C/min to 100,000 °C; Mark End of Cycle ; Mark End of Cycle ; Data Off 
[step]
Ramp 6,00 °C/min to 100,000 °C
Time	Temperature	Heat Flow (Normalized)
s	°C	W/g
98,1000	5,76202	-0,0172565
98,2000	5,77238	-0,0172705
98,3000	5,78145	-0,0172886
98,4000	5,79066	-0,0173051
98,5000	5,80149	-0,0173170
98,6000	5,81163	-0,0173251
98,7000	5,82117	-0,0173214
98,8000	5,83236	-0,0173096
98,9000	5,84059	-0,0172776
99,0000	5,85044	-0,0171939
99,1000	5,86093	-0,0171013
99,2000	5,87130	-0,0170381
99,3000	5,88070	-0,0170164
99,4000	5,89079	-0,0170046
99,5000	5,90159	-0,0170072
99,6000	5,91207	-0,0170290
99,7000	5,92216	-0,0170844
99,8000	5,93034	-0,0171257
99,9000	5,94106	-0,0171729
100,000	5,95227	-0,0172076
100,100	5,96106	-0,0172269
100,200	5,97041	-0,0172408
100,300	5,98160	-0,0172496
100,400	5,99115	-0,0172427
100,500	6,00199	-0,0172330
100,600	6,01088	-0,0172339
100,700	6,02188	-0,0172382
100,800	6,03171	-0,0172399
100,900	6,04063	-0,0172517
101,000	6,05122	-0,0172651
101,100	6,06136	-0,0172888
101,200	6,07260	-0,0173111
101,300	6,08205	-0,0173343
101,400	6,09111	-0,0173550
101,500	6,10142	-0,0173664
101,600	6,11123	-0,0173811
101,700	6,12085	-0,0173996
101,800	6,12991	-0,0174203
101,900	6,14131	-0,0174408
102,000	6,15040	-0,0174671
102,100	6,16144	-0,0174995
102,200	6,17146	-0,0175300
102,300	6,18138	-0,0175520
102,400	6,19081	-0,0175741
102,500	6,20147	-0,0175928
102,600	6,21144	-0,0176078
102,700	6,22155	-0,0176196
102,800	6,23117	-0,0176259
102,900	6,24025	-0,0176443
103,000	6,25042	-0,0176628
103,100	6,26056	-0,0176786
103,200	6,27036	-0,0176959
103,300	6,28067	-0,0177101
103,400	6,29116	-0,0177202
103,500	6,30076	-0,0177343
103,600	6,31063	-0,0177402
103,700	6,32022	-0,0177409
103,800	6,33069	-0,0177391
103,900	6,34008	-0,0177340
104,000	6,35156	-0,0177412
104,100	6,36058	-0,0177485
104,200	6,36987	-0,0177513
104,300	6,38197	-0,0177616
104,400	6,39103	-0,0177812
104,500	6,40113	-0,0178014
104,600	6,41114	-0,0178264
104,700	6,42116	-0,0178460
