code	label	notes	old_code	collection_day	collection_month	collection_year	death_date	sex_code	refrigerator	tray	row	column	location_code	location	genus	species	country	province	latitude	longitude	elevation	light_dark	histology_location	histology_stage_performed	histology_stage_next_up	rna_location	etoh_voucher	elytron	purpose
131	CICIMAUCR0131 MV//SEX: M 2023	33 K male, from Kenji Nishida	33			2023		M	1	3	3	1	MV	nr. Estacion Biologica Monteverde	Chrysina	chrysargyrea	COSTA RICA	PUNTARENAS											general
132	CICIMAUCR0132 MV//SEX: M 2023	37 K , from Kenji Nishida	37			2023		M	1	3	3	1	MV	nr. Estacion Biologica Monteverde	Chrysina	chrysargyrea	COSTA RICA	PUNTARENAS											general
133	CICIMAUCR0133 MV//SEX: M 2023	38 K male, from Kenji Nishida	38			2023		M	1	3	3	1	MV	nr. Estacion Biologica Monteverde	Chrysina	chrysargyrea	COSTA RICA	PUNTARENAS											general
134	CICIMAUCR0134 MV//SEX: M 2023	MV 2023 5.VI.2023, from Kenji Nishida	31			2023		M	1	3	3	1	MV	nr. Estacion Biologica Monteverde	Chrysina	chrysargyrea	COSTA RICA	PUNTARENAS											general
135	CICIMAUCR0135 MV//SEX: M 2023	k39 M 31/V, elitro derecho a Paula 6/11/23, from Kenji Nishida	39			2023		M	1	3	3	1	MV	nr. Estacion Biologica Monteverde	Chrysina	chrysargyrea	COSTA RICA	PUNTARENAS											Esteban -SEM (pruebas microtomo)
136	CICIMAUCR0136 MV//SEX: F 2023	#40 female Kenji C. Chrysargyrea, from Kenji Nishida	40			2023		F	1	3	3	2	MV	nr. Estacion Biologica Monteverde	Chrysina	chrysargyrea	COSTA RICA	PUNTARENAS											etoh
137	CICIMAUCR0137 MV//SEX: F 2023	42 K female, from Kenji Nishida	42			2023		F	1	3	3	2	MV	nr. Estacion Biologica Monteverde	Chrysina	chrysargyrea	COSTA RICA	PUNTARENAS											general
138	CICIMAUCR0138 MV//SEX: M 2023	#43 MV 23, from Kenji Nishida	43			2023		M	1	3	3	2	MV	nr. Estacion Biologica Monteverde	Chrysina	chrysargyrea	COSTA RICA	PUNTARENAS											general
139	CICIMAUCR0139 MV//SEX: M 2023	#48 Male Kenji, from Kenji Nishida	48			2023		M	1	3	3	2	MV	nr. Estacion Biologica Monteverde	Chrysina	chrysargyrea	COSTA RICA	PUNTARENAS											etoh
14	CICIMAUCR0014 MV//SEX: F 28.v.2023	MV	52	28	5	2023		F	1	2	1	2	MV	nr. Reserva Bosque Nuboso Santa Elena	Chrysina	cupreomarginata	COSTA RICA	GUANACASTE				dark-adapted							RNA-opsins
140	CICIMAUCR0140 MV//SEX: M 28.v.2023	MV 2023 8-VI-2023	49	28	5	2023		M	1	3	3	2	MV	nr. Reserva Bosque Nuboso Santa Elena	Chrysina	chrysargyrea	COSTA RICA	GUANACASTE											general
141	CICIMAUCR0141 AM//SEX: F 2022	2 x C. Kalinini Dry male female La amistad V. 2022	NO CODE			2022		F	1	3	3	2	AM				COSTA RICA	PUNTARENAS											
142	CICIMAUCR0142 //SEX: U	(Sin informacion, es solo un tubo de centrifugacion con un escarabajo de 1 cm o menos dentro), Ni #0003	NO CODE						1	3	3	2		Pitilla GUANACASTE			COSTA RICA	GUANACASTE											
143	CICIMAUCR0143 //SEX: U	(Sin informacion, es solo un tubo de centrifugacion con un escarabajo de 1 cm o menos dentro), Ni #0003	NO CODE						1	3	3	2		Pitilla GUANACASTE			COSTA RICA	GUANACASTE											
