wavelength,corrected_reflectance
538.12344125,53.760281097098
538.55319035,54.2695067639451
538.98292135,54.79317867044054
539.41263423,55.31478925013746
539.84232899,55.856307288013625
540.2720056,56.414912336726935
540.70166404,56.982989883422015
541.13130429,57.56775911072525
541.56092633,58.15151481118759
541.99053015,58.74973582673269
542.42011572,59.3494990727193
542.84968303,59.92904207078407
543.27923205,60.48303648069598
543.70876277,61.0188562721052
544.13827517,61.53002976833864
544.56776923,62.00420952394732
544.99724493,62.43575283421686
545.42670225,62.831201114946474
545.85614117,63.187743282673445
546.28556168,63.505821748094995
546.71496375,63.78606561439929
547.14434736,64.05178017712149
547.5737125,64.29925114760958
548.00305915,64.52896811914648
548.43238728,64.74112218257797
548.86169688,64.93749235276498
549.29098794,65.1327259141132
