code	purpose	old_code	collection_day	collection_month	collection_year	label	death_date	sex_code	refrigerator	tray	row	column	location_code	location	notes	genus	species	country	province	latitude	longitude	elevation	light_dark	histology_location	histology_stage_performed	histology_stage_next_up	rna_location	etoh_voucher	elytron	collection
INBUCR0432	nan	INB0003355003	18.0	6.0	1987.0	C432	nan	F	nan	nan	nan	nan	nan	Liberia, P. N. Guanacaste, Estación Mengo, Bosque Primario.	Chrysina aurigans. Det: A. Solís. COSTA RICA. Prov. Guanacaste.  Liberia, P. N. Guanacaste, Estación Mengo, Bosque Primario. 1000 m. 18 JUN 1987. Janzen. Manual (red, libre) L_N_322740_375198 #52599. INB0003355003	Chrysina	aurigans	Costa Rica	Guanacaste	nan	nan	1000.0	nan	nan	nan	nan	nan	nan	nan	INBUCR
INBUCR0433	nan	INB0003165546	21.0	7.0	1999.0	C433	nan	F	nan	nan	nan	nan	nan	Pérez Zeledón. Estación Santa Elena.	Chrysina cupreomarginata. Det: A. Solís. COSTA RICA. Prov San José. Pérez Zeledón. Estación Santa Elena. 1600 m. 21-29 JUL 1999. J. Rodríguez. de Luz L_S_373000_507500 #57317. INB00031565546 INBIOCRI COSTA RICA. Falta élitro izquierdo. 	Chrysina	cupreomarginata	Costa Rica	San José	nan	nan	1600.0	nan	nan	nan	nan	nan	nan	nan	INBUCR
INBUCR0434	nan	INB0003888481	13.0	10.0	2004.0	C434	nan	M	nan	nan	nan	nan	nan	R. B. Hitoy Cerere, Valle La Estrella, Calavera Danta,	Chrysina luteomarginata. Det: A. Solíz. COSTA RICA. Prov. Limón, R. B. Hitoy Cerere, Valle La Estrella, Calavera Danta, 370 m. 13 de OCT 2004, B. Gamboa, D. Briceño, M. Moraga, Y. Cárdenas. Tp Luz L_S_398950_562350 #78493. INB0003888481 INBIOCRI COSTA RICA. Sin élitros. 	Chrysina	luteomarginata	Costa Rica	Limón	nan	nan	370.0	nan	nan	nan	nan	nan	nan	nan	INBUCR
INBUCR0435	nan	INB0003554368	15.0	11.0	2002.0	C435	nan	M	nan	nan	nan	nan	nan	Tayutic, Platanillo.	Chrysina limbata. COSTA RICA. Prov. Cartago. Tayutic, Platanillo. 980-1000 m. 15 de Nov 2002, Rocío Vives. Manual (Aplastado sobre la calle). L. N. 199600 585500 #72176. INB0003554368 INBIOCRI COSTA RICA. Falta élitro izquierdo	Chrysina	limbata	Costa Rica	Puntarenas	nan	nan	980.0	nan	nan	nan	nan	nan	nan	nan	INBUCR
INBUCR0436	nan	INB0004169209	nan	8.0	2008.0	C436	nan	M	nan	nan	nan	nan	nan	Guatuso. P.N. Volcán Tenorio. Punto 4: Cerro Montezuma.	COSTA RICA. Prov. Alajuela. Guatuso. P.N. Volcán Tenorio. Punto 4: Cerro Montezuma. 1510 m. 27 AGO 2008. INB0004169209 INBIOCRI COSTA RICA .	Chrysina	boucardi	Costa Rica	Alajuela	nan	nan	1510.0	nan	nan	nan	nan	nan	nan	nan	INBUCR
nan	nan	INBIOCRI000601110	nan	9.0	1991.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	sin especimen, solo etiqueta. Est. Pitilla, 700 m. 9 km S Sta. Cecilia, P. N. Guanacaste, Prov. Guan. COSTA RICA. P. Ríos, Set 1991, L-n-330200, 880200	nan	nan	Costa Rica	Guanacaste	nan	nan	700.0	nan	nan	nan	nan	nan	nan	nan	INBUCR
ANGSOL0001	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	Chrysina macropus. Sin datos	Chrysina	macropus	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	ANGSOL
ANGSOL0002	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	Tlanchinol	Chrysina macropus. Mexico, Hidalgo. Tlanchinol. 7-28 Junio 1992.	Chrysina	macropus	Mexico	Hidalgo	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	ANGSOL
ANGSOL0003	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	Tlanchinol	Chrysina macropus. Mexico, Hidalgo. Tlanchinol. 7-28 Junio 1992.	Chrysina	macropus	Mexico	Hidalgo	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	ANGSOL
ANGSOL0004	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	Tlanchinol	Chrysina macropus. Mexico, Hidalgo. Tlanchinol. 7-28 Junio 1992.	Chrysina	macropus	Mexico	Hidalgo	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	ANGSOL
