genus	species	binomial	species_code	code	notes	location	latitude	longitude	province	protected_area	canton	district	max_altitude	min_altitude	collection_date_start	collection_date_end	collector
Chrysina	resplendens	Chrysina resplendens	119	419121		"Liberia, Mayorga, Estacion Cacao, 2 Km SW de Cerro Cacao."	10.9300833	-85.4704233	Guanacaste	P.N. Guanacaste	Liberia	Mayorga	1600	800	21/05/1992	29/05/1992	"Marin, Ada"
Chrysina	resplendens	Chrysina resplendens	119	623604		"Liberia, Mayorga, Estacion Cacao, 2 Km SW de Cerro Cacao."	10.9300833	-85.4704233	Guanacaste	P.N. Guanacaste	Liberia	Mayorga	1600	800	01/06/1991	30/06/1991	"Chavez, Carlos"
Chrysina	resplendens	Chrysina resplendens	119	668621		"Rio San Lorenzo, Tierras Morenas"	10.6104586	-84.9949656	Guanacaste	Z.P. Tenorio	Tilarán	Tierras Morenas	1050	900	01/06/1991	30/06/1991	"Alvarado, Celso"
Chrysina	resplendens	Chrysina resplendens	119	856696		"Guacimal, Finca Buen Amigo Monteverde, 4Km S. de la Reserva."	10.2767228	-84.7966197	Puntarenas	No protegida	Puntarenas	Guacimal	1400	900	01/10/1992	31/10/1992	"Fuentes, Zobeida"
Chrysina	resplendens	Chrysina resplendens	119	1037308		"Liberia, Mayorga, Estacion Cacao, 2 Km SW de Cerro Cacao."	10.9300833	-85.4704233	Guanacaste	P.N. Guanacaste	Liberia	Mayorga	1600	800	01/06/1988	30/06/1988	"Janzen, Daniel H."
Chrysina	resplendens	Chrysina resplendens	119	1037312	Semeja espectro algo a kalinini	"SAN RAMON, RIO S. LORENCITO"	10.2276706	-84.600765	Alajuela	R.B. Alberto Manuel Brenes	San Ramón	Angeles	1000	800	04/05/1987	04/05/1987	"Solis, Angel"
Chrysina	resplendens	Chrysina resplendens	119	1309367		"A.C.A, Central, Reserva Bosque Eterno de los Ninos, Sector Monteverde, Sendero El Camino"	10.2984286	-84.7925439	Puntarenas	Z.P. Arenal-Monteverde	Puntarenas	Monteverde	1600	1250	01/04/1991	30/04/1991	"Obando, Norman"
Chrysina	resplendens	Chrysina resplendens	119	2181994	Espectro particular	"Monteverde, Estacion La Casona."	10.3043003	-84.7962042	Puntarenas	Z.P. Arenal-Monteverde	Puntarenas	Monteverde	1600	1500	27/03/1995	24/04/1995	"Martinez, Kattia"
Chrysina	resplendens	Chrysina resplendens	119	3353565		"A.C.G, Liberia, Pque Nal Guanacaste, Est Mengo, Lado SW Volcan Cacao"	10.925	-85.475	Guanacaste	P.N. Guanacaste	Liberia	Mayorga	1000	1000	13/06/1987	13/06/1987	"Janzen, Daniel H."
Chrysina	resplendens	Chrysina resplendens	119	3359158		"A.C.G, Liberia, Pque Nal Guanacaste, Est Mengo, Lado SW Volcan Cacao"	10.925	-85.475	Guanacaste	P.N. Guanacaste	Liberia	Mayorga	1000	1000	14/03/1988	14/03/1988	"Espinoza, Marcial"
Chrysina	resplendens	Chrysina resplendens	119	3708178		Estacion Cabro Muco.	10.7183333	-85.1447222	Guanacaste	Z.P. Miravalles	Bagaces	Fortuna	1300	1100	26/03/2003	02/04/2003	"Gutiérrez Ruíz, José Daniel"
Chrysina	resplendens	Chrysina resplendens	119	3710592		Estacion Cabro Muco.	10.7183333	-85.1447222	Guanacaste	Z.P. Miravalles	Bagaces	Fortuna	1300	1100	15/03/2003	02/04/2003	"Azofeifa Zuñiga, Jose Antonio"
Chrysina	resplendens	Chrysina resplendens	119	3720411		Estacion Cabro Muco.	107183333	-851447222	Guanacaste	Z.P. Miravalles	Bagaces	Fortuna	1300	1100	15/03/2003	20/03/2003	"Zumbado, Manuel Angel"
Chrysina	resplendens	Chrysina resplendens	119	3731054		Estacion Cabro Muco.	10.7183333	-85.1447222	Guanacaste	Z.P. Miravalles	Bagaces	Fortuna	1300	1100	22/06/2003	08/07/2003	"Azofeifa Zuñiga, Jose Antonio"
Chrysina	resplendens	Chrysina resplendens	119	4090505		"Rio Martirio, La Rejolla"	10.6542178	-85.0384786	Guanacaste	P.N. Volcan Tenorio	Cañas	Cañas	1100	1000	14/06/2007	15/06/2007	"Azofeifa Zuñiga, Jose Antonio"
Chrysina	resplendens	Chrysina resplendens	119	4090508		"Rio Martirio, La Rejolla"	10.6542178	-85.0384786	Guanacaste	P.N. Volcan Tenorio	Cañas	Cañas	1100	1000	14/06/2007	15/06/2007	"Azofeifa Zuñiga, Jose Antonio"
Chrysina	resplendens	Chrysina resplendens	119	4224244		Est. Biol. Villa Blanca.	10.2013611	-84.4851006	Alajuela	No protegida	San Ramón	Angeles	1115	1000	23/03/2009	28/03/2009	"Rojas Vásquez, Robert"
Chrysina	resplendens	Chrysina resplendens	119	4224249	"Diferente a otros en espectro, est� corrido a la derecha"	Est. Biol. Villa Blanca.	10.2013611	-84.4851006	Alajuela	No protegida	San Ramón	Angeles	1115	1000	23/03/2009	28/03/2009	"Rojas Vásquez, Robert"
Chrysina	resplendens	Chrysina resplendens	119	4249297	Semeja espectro algo a kalinini	Est. Biol. Villa Blanca.	10.2013611	-84.4851006	Alajuela	No protegida	San Ramón	Angeles	1115	1000	16/03/2010	17/03/2010	"Hernández, Braulio"
Chrysina	resplendens	Chrysina resplendens	119	4294666	Semeja espectro algo a kalinini	Est. Biol. Villa Blanca.	10.2013611	-84.4851006	Alajuela	No protegida	San Ramon	Angeles	1115	1000	17/04/2010	15/04/2010	"Gutierrez, Mauricio"
Chrysina	sp337	Chrysina sp337	337	3165406	Inicialmente identificados como Chrysina cupreomarginata.  ADN indica que es especie diferente	"Est. Santa Elena, 1.2 Km al N. de la Estacion"	9.4070044	-83.5983808	San Jose	No protegida	Pérez Zeledón	General	1600	1400	25/08/1999	05/09/1999	"Rodriguez, J."
Chrysina	sp337	Chrysina sp337	337	3165411	Inicialmente identificados como Chrysina cupreomarginata.  ADN indica que es especie diferente	"Est. Santa Elena, 1.2 Km al N. de la Estacion"	9.4070044	-83.5983808	San Jose	No protegida	Pérez Zeledón	General	1600	1400	25/08/1999	05/09/1999	"Rodriguez, J."
Macraspis	chrysis	Macraspis chrysis	85	2208353		P.N. Barra Honda. Los Mesones	10.1700989	-85.3508483	Guanacaste	P.N. Barra Honda	Nicoya	Mansión	350	200	01/07/1995	31/07/1995	"Reyes, Marielos"
Macraspis	chrysis	Macraspis chrysis	85	3550669		"A.C.G, Liberia, Pque Nal Sta Rosa, Estacion Santa Rosa"	10.8364097	-85.6154911	Guanacaste	P.N. Santa Rosa	Liberia	Nacascolo	3000	0	10/11/2002	10/11/2002	"Briceño, Duvalier"
Macraspis	hirtiventris1	Macraspis hirtiventris1	88	360323		Estacion Quebrada Segundo	9.7625833	-83.7883281	Cartago	P.N. Tapanti Macizo de La Muerte	Paraíso	Orori	1750	1150	01/08/1991	31/08/1991	"Mora, Gerardo"
Macraspis	hirtiventris1	Macraspis hirtiventris1	88	602505		"A.C.A, Central, Reserva Bosque Eterno de los Ni�os, Sector Monteverde, Sendero El Camino"	10.2984286	-84.7925439	Puntarenas	Z.P. Arenal-Monteverde	Puntarenas	Monteverde	1600	1250	01/11/1991	30/11/1991	"Obando, Norman"
Macraspis	hirtiventris1	Macraspis hirtiventris1	88	2210262		Estacion Quebrada Segundo	9.7625833	-83.7883281	Cartago	P.N. Tapanti Macizo de La Muerte	Paraíso	Orori	1750	1150	01/06/1995	30/06/1995	"Delgado, Roberto"
Macraspis	hirtiventris1	Macraspis hirtiventris1	88	2214015		"Tapanti, Rio Dos Amigos"	9.7065183	-83.7829583	Cartago	P.N. Tapanti Macizo de La Muerte	Paraíso	Orori	1500	1400	01/10/1994	31/10/1994	"Delgado, Roberto"
Macraspis	hirtiventris1	Macraspis hirtiventris1	88	2363681		"Rio Grande de Orosi, desde Puente Rio Dos Amigos hasta la Represa"	9.6956433	-83.7683986	Cartago	P.N. Tapanti Macizo de La Muerte	Paraíso	Orori	1800	1200	01/10/1995	31/10/1995	"Delgado, Roberto"
Macraspis	hirtiventris1	Macraspis hirtiventris1	88	2375764		"R. Grande de Orosi, desde Sendero La Pava Hasta La Catarata"	9.7399708	-83.7828997	Cartago	P.N. Tapanti Macizo de La Muerte	Paraíso	Orori	1700	1300	01/03/1996	31/03/1996	"Delgado, Roberto"
Macraspis	hirtiventris1	Macraspis hirtiventris1	88	2375765		"R. Grande de Orosi, desde Sendero La Pava Hasta La Catarata"	9.7399708	-83.7828997	Cartago	P.N. Tapanti Macizo de La Muerte	Paraíso	Orori	1700	1300	01/03/1996	31/03/1996	"Delgado, Roberto"
Macraspis	hirtiventris1	Macraspis hirtiventris1	88	2375766		"R. Grande de Orosi, desde Sendero La Pava Hasta La Catarata"	9.7399708	-83.7828997	Cartago	P.N. Tapanti Macizo de La Muerte	Paraíso	Orori	1700	1300	01/03/1996	31/03/1996	"Delgado, Roberto"
Macraspis	hirtiventris1	Macraspis hirtiventris1	88	3014858		"A.C.L.A.P, Paraiso, Pque Nal Tapanti, Queb Segunda, Send Catarata"	9.7331867	-83.7810889	Cartago	P.N. Tapanti Macizo de La Muerte	Paraíso	Orori	1450	1450	01/05/1998	31/05/1998	"Delgado, Roberto"
