code	old_code	genus	species	sex_code	purpose	notes	country	province	location	location_code	latitude	longitude	elevation	collection_day	collection_month	collection_year	death_date	refrigerator	tray	row	column	light_dark	histology_location	histology_stage_performed	histology_stage_next_up	rna_location	etoh_voucher	elytron	label
CICIMAUCR0044	2017-8	Chrysina	optima	M	Élitro derecho en bolsa mediciones Tranflectancia y Reflectancia. 	C.optima (p) Costa Rica, Cartago. P.N. Tapantí 1500 msnm Col Abril 2017 ERG-D 16-V-2017	Costa Rica 	Cartago	P. N. Tapantí	TP	9.574242117	-83.75709361	1500		4	2017	16.V.2017	1	1	3	2								CICIMAUCR0044 TP//SEX: M IV.2017
CICIMAUCR0045	2017-9	Chrysina	optima	F		C.optima (p) Costa Rica, Cartago. P.N. Tapantí 1500 msnm Col Abril 2017 16-V-2017	Costa Rica 	Cartago	P. N. Tapantí	TP	9.574242117	-83.75709361	1500		4	2017	16.V.2017	1	1	3	2								CICIMAUCR0045 TP//SEX: F IV.2017
CICIMAUCR0046	2017-10	Chrysina	optima	F		C.optima (p) Costa Rica, Cartago. P.N. Tapantí 1500 msnm Col Abril 2017  8-V-2017	Costa Rica 	Cartago	P. N. Tapantí	TP	9.574242117	-83.75709361	1500		4	2017	8.V.2017	1	1	3	2								CICIMAUCR0046 TP//SEX: F IV.2017
CICIMAUCR0047	2017-11	Chrysina	optima	M		C.optima (p) Costa Rica, Cartago. P.N. Tapantí 1500 msnm Col Abril 2017 8-V-2017	Costa Rica 	Cartago	P. N. Tapantí	TP	9.574242117	-83.75709361	1500		4	2017	8.V.2017	1	1	3	2								CICIMAUCR0047 TP//SEX: M IV.2017
CICIMAUCR0048	2017-12	Chrysina	optima	F		C.optima (p) Costa Rica, Cartago. P.N. Tapantí 1500 msnm Col Abril 2017  8-V-2017	Costa Rica 	Cartago	P. N. Tapantí	TP	9.574242117	-83.75709361	1500		4	2017	8.V.2017	1	1	3	2								CICIMAUCR0048 TP//SEX: F IV.2017
CICIMAUCR0049	2017-15	Chrysina	optima	F		C.optima (p) Costa Rica, Cartago. P.N. Tapantí 1500 msnm Col Abril 2017 15-V-2017	Costa Rica 	Cartago	P. N. Tapantí	TP	9.574242117	-83.75709361	1500		4	2017	15.V.2017	1	1	3	2								CICIMAUCR0049 TP//SEX: F IV.2017
CICIMAUCR0050	2017-16	Chrysina	optima	M		C.optima (p) Costa Rica, Cartago. P.N. Tapantí 1500 msnm Col Abril 2017 ERG-D 15-V-2017	Costa Rica 	Cartago	P. N. Tapantí	TP	9.574242117	-83.75709361	1500		4	2017	15.V.2017	1	1	3	2								CICIMAUCR0050 TP//SEX: M IV.2017
CICIMAUCR0051	2017-17	Chrysina	optima	F		C.optima (p) Costa Rica, Cartago. P.N. Tapantí 1500 msnm Col Abril 2017 15-V-2017	Costa Rica 	Cartago	P. N. Tapantí	TP	9.574242117	-83.75709361	1500		4	2017	15.V.2017	1	1	3	2								CICIMAUCR0051 TP//SEX: F IV.2017
CICIMAUCR0052	2017-18	Chrysina	optima	M		C.optima (p) Costa Rica, Cartago. P.N. Tapantí 1500 msnm Col Abril 2017 2-V-2017	Costa Rica 	Cartago	P. N. Tapantí	TP	9.574242117	-83.75709361	1500		4	2017	2.V.2017	1	1	3	2								CICIMAUCR0052 TP//SEX: M IV.2017
CICIMAUCR0053	2017-19	Chrysina	optima	F		C.optima (p) Costa Rica, Cartago. P.N. Tapantí 1500 msnm Col Abril 2017 3-V-2017 APROX.	Costa Rica 	Cartago	P. N. Tapantí	TP	9.574242117	-83.75709361	1500		4	2017	3.V.2017	1	1	3	2								CICIMAUCR0053 TP//SEX: F IV.2017
